Date,Plant_ID,Production_Volume,Defect_Rate,CO2_Emissions_kg,Delivery_OnTime_%,Customer_NPS,Inventory_Level
2023-06-29,PLT001,3318,2.8,3916,91.47,22,8992
2023-06-30,PLT001,1835,0.93,2475,86.43,15,10206
2023-07-01,PLT001,2834,0.58,4991,85.14,75,14635
2023-07-02,PLT001,2232,2.24,4925,92.14,17,14244
2023-07-03,PLT001,1101,0.48,1916,96.36,73,11501
2023-07-04,PLT001,3260,2.45,1714,81.87,18,11459
2023-07-05,PLT001,1016,2.0,5478,85.52,32,16795
2023-07-06,PLT001,1836,2.42,2635,84.1,80,6192
2023-07-07,PLT001,1474,2.19,5275,95.97,30,9049
2023-07-08,PLT001,3191,1.65,3082,98.67,10,6709
2023-07-09,PLT001,1436,0.94,2232,81.6,55,13374
2023-07-10,PLT001,2525,1.28,4246,87.58,71,18233
2023-07-11,PLT001,3022,1.98,3763,98.29,11,6828
2023-07-12,PLT001,1285,2.39,5304,86.89,84,13150
2023-07-13,PLT001,1374,2.79,3927,94.25,91,19298
2023-07-14,PLT001,1317,2.75,1731,82.01,53,8074
2023-07-15,PLT001,3294,3.41,5853,88.89,92,9950
2023-07-16,PLT001,1838,1.21,1902,90.07,14,14250
2023-07-17,PLT001,1854,0.53,1564,95.15,48,4068
2023-07-18,PLT001,1775,1.41,3737,85.78,75,18015
2023-07-19,PLT001,1662,2.68,2449,85.28,90,5637
2023-07-20,PLT001,2102,1.7,1672,86.06,54,17251
2023-07-21,PLT001,2105,2.92,4175,91.11,84,9663
2023-07-22,PLT001,1563,2.06,2750,97.52,22,12393
2023-07-23,PLT001,924,3.28,4548,96.62,41,12457
2023-07-24,PLT001,2890,3.33,5505,81.16,52,10251
2023-07-25,PLT001,2103,0.52,2137,97.58,17,7125
2023-07-26,PLT001,1609,1.76,2448,81.9,83,11094
2023-07-27,PLT001,2779,2.25,3760,88.31,68,11505
2023-07-28,PLT001,2084,1.12,3194,95.31,20,10333
2023-07-29,PLT001,3124,1.6,1642,81.63,37,4238
2023-07-30,PLT001,1184,2.47,2960,80.81,48,9046
2023-07-31,PLT001,962,1.03,5387,86.6,35,18678
2023-08-01,PLT001,1902,2.23,1792,94.6,81,12017
2023-08-02,PLT001,1561,2.53,3143,90.44,35,4290
2023-08-03,PLT001,3103,0.59,4218,88.34,41,15586
2023-08-04,PLT001,2392,1.89,2337,96.26,55,10464
2023-08-05,PLT001,1866,1.14,2537,95.33,37,5808
2023-08-06,PLT001,1748,2.62,1771,95.72,16,14281
2023-08-07,PLT001,2007,0.91,3458,89.19,44,4954
2023-08-08,PLT001,1588,3.16,3869,80.39,75,17509
2023-08-09,PLT001,1047,1.68,2305,83.44,31,11032
2023-08-10,PLT001,1241,0.93,4674,94.83,31,16920
2023-08-11,PLT001,3423,1.7,2382,95.06,12,5930
2023-08-12,PLT001,1986,1.61,2331,99.45,55,10989
2023-08-13,PLT001,2624,1.67,4671,83.8,59,16272
2023-08-14,PLT001,2283,2.17,3691,82.46,17,12475
2023-08-15,PLT001,1226,1.97,3540,82.78,13,12998
2023-08-16,PLT001,2692,0.78,3094,83.7,24,18517
2023-08-17,PLT001,2659,0.51,3126,90.57,53,11779
2023-08-18,PLT001,1889,2.63,5084,99.5,48,9130
2023-08-19,PLT001,3162,2.09,1773,91.79,85,14098
2023-08-20,PLT001,3382,1.45,2089,90.45,38,19080
2023-08-21,PLT001,1851,2.89,4200,93.47,82,10585
2023-08-22,PLT001,1622,1.54,2082,81.48,71,6676
2023-08-23,PLT001,2979,2.85,5133,96.31,93,19783
2023-08-24,PLT001,3232,1.28,3490,92.94,43,7571
2023-08-25,PLT001,1328,0.53,2758,83.42,35,18723
2023-08-26,PLT001,2400,3.28,4366,92.61,94,16863
2023-08-27,PLT001,1185,1.56,5238,91.92,27,7759
2023-08-28,PLT001,2965,2.84,2071,81.3,72,18789
2023-08-29,PLT001,1668,1.19,2044,85.34,61,16261
2023-08-30,PLT001,2294,2.37,5722,87.82,63,13810
2023-08-31,PLT001,1093,3.09,2137,84.9,51,17214
2023-09-01,PLT001,3449,0.43,1540,84.86,63,9121
2023-09-02,PLT001,1887,2.96,5892,91.46,61,17098
2023-09-03,PLT001,2036,2.13,3120,89.42,22,17553
2023-09-04,PLT001,3061,2.24,5172,93.35,41,13000
2023-09-05,PLT001,2601,1.97,5637,99.13,92,19419
2023-09-06,PLT001,1846,3.1,5628,93.21,90,18703
2023-09-07,PLT001,1730,0.44,2799,91.64,75,7786
2023-09-08,PLT001,2820,1.14,1659,96.95,91,4941
2023-09-09,PLT001,954,3.1,3452,92.64,67,12231
2023-09-10,PLT001,1699,2.71,3231,83.31,48,5338
2023-09-11,PLT001,1677,0.36,3946,86.29,36,8652
2023-09-12,PLT001,2381,1.95,4662,94.67,87,5321
2023-09-13,PLT001,2801,1.99,3232,94.77,63,5654
2023-09-14,PLT001,3109,1.58,2080,99.74,88,18315
2023-09-15,PLT001,3034,1.25,1719,92.54,81,17204
2023-09-16,PLT001,954,2.48,5974,97.99,82,7068
2023-09-17,PLT001,2723,0.96,3249,81.09,94,8738
2023-09-18,PLT001,2101,2.86,2970,91.32,52,10593
2023-09-19,PLT001,1732,2.87,5828,98.4,61,12586
2023-09-20,PLT001,1212,1.63,2894,85.74,23,4791
2023-09-21,PLT001,2758,1.21,2421,83.1,17,15825
2023-09-22,PLT001,2907,1.21,4273,87.01,44,18423
2023-09-23,PLT001,2906,1.84,5962,95.84,27,10676
2023-09-24,PLT001,3390,2.6,4934,81.69,64,14136
2023-09-25,PLT001,2690,1.45,5082,92.01,87,19747
2023-09-26,PLT001,1227,2.25,2618,82.71,61,4743
2023-09-27,PLT001,2187,1.52,3365,88.71,81,10524
2023-09-28,PLT001,3043,1.27,5811,99.32,58,17866
2023-09-29,PLT001,2011,0.38,2224,83.9,17,10574
2023-09-30,PLT001,2211,0.31,2211,80.68,46,19894
2023-10-01,PLT001,3438,1.03,3325,88.54,75,17527
2023-10-02,PLT001,1351,1.6,5426,91.55,90,16564
2023-10-03,PLT001,2423,3.02,1890,85.95,86,4193
2023-10-04,PLT001,1064,2.86,2570,90.84,87,11894
2023-10-05,PLT001,1081,1.15,5987,99.07,50,8274
2023-10-06,PLT001,3416,1.08,4265,86.24,82,17454
2023-10-07,PLT001,1809,1.03,5980,86.19,36,18332
2023-10-08,PLT001,1722,1.39,3928,89.66,29,7897
2023-10-09,PLT001,1843,1.89,5994,90.31,47,17849
2023-10-10,PLT001,2901,1.7,3647,80.03,21,12409
2023-10-11,PLT001,2954,1.0,5072,92.32,51,7582
2023-10-12,PLT001,1229,0.72,5978,99.95,59,9083
2023-10-13,PLT001,1674,0.34,4254,85.84,40,19418
2023-10-14,PLT001,3098,0.79,4763,92.62,86,19705
2023-10-15,PLT001,1046,2.56,5325,80.09,74,16844
2023-10-16,PLT001,1814,1.08,4916,92.09,62,12129
2023-10-17,PLT001,2471,1.8,3557,88.94,49,15682
2023-10-18,PLT001,2208,2.19,3811,90.61,82,9343
2023-10-19,PLT001,981,3.14,4379,90.88,48,11517
2023-10-20,PLT001,1413,3.14,5142,83.54,19,15007
2023-10-21,PLT001,2820,2.69,4109,95.4,38,11789
2023-10-22,PLT001,2839,0.41,2930,91.11,49,7903
2023-10-23,PLT001,1645,2.14,3413,85.4,39,16115
2023-10-24,PLT001,2309,2.82,2257,98.75,11,5785
2023-10-25,PLT001,1606,0.36,3634,80.26,91,16364
2023-10-26,PLT001,1370,2.06,3412,94.52,37,11962
2023-10-27,PLT001,1295,3.04,3239,87.62,56,16886
2023-10-28,PLT001,2455,1.82,4717,90.45,41,16025
2023-10-29,PLT001,3208,0.31,2634,85.83,87,17519
2023-10-30,PLT001,1704,0.34,5212,86.43,41,13374
2023-10-31,PLT001,1833,1.63,2264,80.3,36,4523
2023-11-01,PLT001,2179,0.8,4225,94.6,63,7296
2023-11-02,PLT001,2657,2.43,4868,94.22,65,17669
2023-11-03,PLT001,1804,2.57,4997,93.09,40,10956
2023-11-04,PLT001,1976,0.87,3172,97.56,33,8479
2023-11-05,PLT001,2790,3.14,4905,98.03,44,11711
2023-11-06,PLT001,2423,1.71,2082,91.13,39,9685
2023-11-07,PLT001,2287,0.76,3321,93.7,64,10647
2023-11-08,PLT001,2203,2.75,2685,80.22,73,17761
2023-11-09,PLT001,1492,2.83,3137,96.93,42,18577
2023-11-10,PLT001,3006,2.35,3680,96.33,55,12560
2023-11-11,PLT001,1027,3.03,1688,80.4,42,11794
2023-11-12,PLT001,1635,2.66,3246,90.86,77,9590
2023-11-13,PLT001,3473,3.12,5326,98.13,73,8383
2023-11-14,PLT001,1420,1.69,4120,83.63,39,4398
2023-11-15,PLT001,3499,2.69,5445,87.05,88,6151
2023-11-16,PLT001,1136,3.5,3826,86.62,38,9430
2023-11-17,PLT001,2204,2.62,2684,87.12,71,7880
2023-11-18,PLT001,2681,0.67,4293,80.84,39,4126
2023-11-19,PLT001,2201,1.96,4446,85.58,21,6087
2023-11-20,PLT001,3441,2.18,4000,85.9,76,15335
2023-11-21,PLT001,2951,0.86,1669,97.32,24,5770
2023-11-22,PLT001,1341,3.38,4245,87.04,19,11025
2023-11-23,PLT001,2976,0.86,2580,88.94,70,19280
2023-11-24,PLT001,1704,0.87,2763,87.61,32,16245
2023-11-25,PLT001,974,3.23,5953,82.41,20,12438
2023-11-26,PLT001,3075,1.79,3748,99.81,25,9925
2023-11-27,PLT001,2989,0.5,5408,96.52,58,7318
2023-11-28,PLT001,2279,2.21,2825,90.82,89,18647
2023-11-29,PLT001,940,2.23,4677,89.53,23,6081
2023-11-30,PLT001,2981,0.51,5373,92.99,15,18464
2023-12-01,PLT001,2600,3.41,3648,86.53,51,6057
2023-12-02,PLT001,2301,2.04,3188,81.01,26,9287
2023-12-03,PLT001,1487,2.09,4485,88.09,51,9903
2023-12-04,PLT001,2522,1.96,3576,99.68,19,9335
2023-12-05,PLT001,1241,2.25,3029,83.65,55,6989
2023-12-06,PLT001,2974,1.15,2961,90.55,93,11575
2023-12-07,PLT001,1545,1.22,2902,80.17,58,18063
2023-12-08,PLT001,1630,1.94,1572,82.44,18,15789
2023-12-09,PLT001,1067,2.88,5849,91.74,88,9721
2023-12-10,PLT001,1509,0.46,5534,85.95,48,11078
2023-12-11,PLT001,3215,2.23,4296,98.11,11,19377
2023-12-12,PLT001,2672,2.88,3993,88.12,77,4339
2023-12-13,PLT001,2940,0.8,5731,84.16,61,6728
2023-12-14,PLT001,1354,0.35,5076,90.91,91,5591
2023-12-15,PLT001,2608,1.3,1532,95.9,20,11843
2023-12-16,PLT001,1601,2.18,4194,80.39,46,9783
2023-12-17,PLT001,2499,0.74,5873,90.11,81,7161
2023-12-18,PLT001,1029,1.66,5098,95.47,31,13500
2023-12-19,PLT001,2745,2.07,3892,82.07,61,12175
2023-12-20,PLT001,2286,2.22,5612,98.06,14,8629
2023-12-21,PLT001,1592,1.18,4371,85.29,11,15530
2023-12-22,PLT001,2294,1.58,4177,83.41,14,17096
2023-12-23,PLT001,1693,2.79,2901,91.79,41,18768
2023-12-24,PLT001,928,3.31,2317,83.5,28,10901
2023-12-25,PLT001,1048,3.06,3160,93.59,13,14890
2023-12-26,PLT001,2219,2.11,3938,89.8,55,15315
2023-12-27,PLT001,2958,1.61,4483,82.2,92,19426
2023-12-28,PLT001,2036,1.37,2710,98.25,35,18932
2023-12-29,PLT001,1086,0.7,2099,93.46,59,6297
2023-12-30,PLT001,2150,0.64,3346,90.92,35,9450
2023-12-31,PLT001,2233,2.5,3355,87.49,80,19239
2024-01-01,PLT001,997,1.13,3387,82.7,41,18750
2024-01-02,PLT001,954,1.11,2179,94.15,53,11290
2024-01-03,PLT001,1657,3.49,4752,96.27,35,17513
2024-01-04,PLT001,1305,0.9,3335,82.52,70,14245
2024-01-05,PLT001,3016,0.77,5530,89.89,60,8944
2024-01-06,PLT001,2212,0.62,3677,89.7,68,13701
2024-01-07,PLT001,2685,2.16,1648,87.0,47,9318
2024-01-08,PLT001,1650,2.31,2995,95.79,35,7807
2024-01-09,PLT001,2662,1.47,3244,81.99,54,4012
2024-01-10,PLT001,1264,2.01,3146,84.1,40,18341
2024-01-11,PLT001,2926,2.82,4495,80.03,79,8034
2024-01-12,PLT001,1381,2.92,3172,87.46,54,9530
2024-01-13,PLT001,3148,3.37,3439,85.82,40,19480
2024-01-14,PLT001,1053,2.94,2157,97.34,70,13772
2024-01-15,PLT001,2424,2.11,5167,94.92,57,7433
2024-01-16,PLT001,3020,0.87,2553,81.69,54,8633
2024-01-17,PLT001,3243,0.62,5571,94.82,69,6051
2024-01-18,PLT001,1940,0.47,2076,93.51,70,7876
2024-01-19,PLT001,2564,2.43,4595,85.63,61,9908
2024-01-20,PLT001,2140,2.88,4531,80.31,61,10130
2024-01-21,PLT001,960,1.93,4472,82.3,85,10427
2024-01-22,PLT001,1838,0.48,5448,85.0,90,17009
2024-01-23,PLT001,2539,2.01,3545,96.33,71,19351
2024-01-24,PLT001,2989,3.29,5436,89.31,35,5823
2024-01-25,PLT001,924,2.21,4448,98.37,76,7430
2024-01-26,PLT001,1962,2.89,3127,95.78,88,6740
2024-01-27,PLT001,1030,2.86,2988,85.74,58,5788
2024-01-28,PLT001,2152,3.28,5645,96.91,53,5952
2024-01-29,PLT001,1007,2.76,5698,82.33,45,19641
2024-01-30,PLT001,1071,2.69,5963,80.72,62,14896
2024-01-31,PLT001,2358,1.05,2435,92.17,53,13143
2024-02-01,PLT001,1001,0.49,5063,86.83,31,16915
2024-02-02,PLT001,3471,1.96,5129,86.59,11,7420
2024-02-03,PLT001,3222,0.7,3214,93.74,16,7027
2024-02-04,PLT001,2536,3.38,3302,97.0,25,7101
2024-02-05,PLT001,1940,1.23,2920,86.44,53,16152
2024-02-06,PLT001,1229,3.03,5091,86.5,74,9873
2024-02-07,PLT001,2420,1.54,5020,90.68,82,7588
2024-02-08,PLT001,911,1.33,4811,93.06,80,18709
2024-02-09,PLT001,2241,3.29,3805,84.06,78,7845
2024-02-10,PLT001,1115,1.46,3495,98.25,70,9737
2024-02-11,PLT001,1238,1.55,3467,93.09,39,13339
2024-02-12,PLT001,2699,0.64,5214,92.5,51,15709
2024-02-13,PLT001,2650,2.45,5535,98.08,83,15250
2024-02-14,PLT001,2408,1.22,5985,98.15,34,5417
2024-02-15,PLT001,3321,2.17,4958,82.71,91,7909
2024-02-16,PLT001,1609,2.19,1893,82.9,80,8745
2024-02-17,PLT001,2123,2.6,5230,95.24,66,15881
2024-02-18,PLT001,3413,2.68,5865,99.14,41,6772
2024-02-19,PLT001,2012,1.95,5744,93.33,59,17099
2024-02-20,PLT001,2191,1.36,1527,88.23,84,9175
2024-02-21,PLT001,1388,2.98,4991,93.67,19,10275
2024-02-22,PLT001,2461,1.29,5761,84.58,31,15020
2024-02-23,PLT001,946,1.92,2673,99.96,50,14361
2024-02-24,PLT001,1677,1.58,1838,88.62,56,6249
2024-02-25,PLT001,1939,3.04,2568,98.63,23,7858
2024-02-26,PLT001,1610,1.68,2341,88.62,12,18277
2024-02-27,PLT001,1300,1.54,5784,98.56,87,5625
2024-02-28,PLT001,2717,2.51,1793,86.71,62,6749
2024-02-29,PLT001,1149,2.23,3357,95.21,25,19624
2024-03-01,PLT001,1290,0.64,2822,99.02,70,6605
2024-03-02,PLT001,1234,1.93,3147,92.92,37,5847
2024-03-03,PLT001,1528,2.65,5120,93.55,44,18153
2024-03-04,PLT001,1036,3.47,4594,82.06,11,11207
2024-03-05,PLT001,2421,2.31,4991,89.48,70,12770
2024-03-06,PLT001,1726,1.48,4995,97.74,65,5136
2024-03-07,PLT001,1626,1.02,5301,84.82,64,15602
2024-03-08,PLT001,2400,3.09,1588,95.77,27,7133
2024-03-09,PLT001,1889,2.91,5866,93.51,80,14466
2024-03-10,PLT001,3319,1.05,3456,84.46,58,14413
2024-03-11,PLT001,1834,0.94,2399,85.66,51,17307
2024-03-12,PLT001,1301,2.59,4977,88.55,16,5157
2024-03-13,PLT001,2366,1.31,3244,82.5,13,11452
2024-03-14,PLT001,1514,1.28,5873,98.27,52,16050
2024-03-15,PLT001,2196,0.79,3753,94.79,89,13841
2024-03-16,PLT001,2082,1.14,5161,87.3,68,11275
2024-03-17,PLT001,3135,1.67,4460,85.99,58,18478
2024-03-18,PLT001,2021,2.65,3133,93.79,69,16856
2024-03-19,PLT001,1030,1.38,2361,88.48,15,9413
2024-03-20,PLT001,2094,1.35,2513,84.59,29,8372
2024-03-21,PLT001,1082,1.21,4799,88.6,40,9611
2024-03-22,PLT001,1263,1.83,3006,97.43,92,5586
2024-03-23,PLT001,938,0.88,4705,81.37,31,14150
